Date of Actual Feedback,Type of Client,Services Availed,Purpose of Transaction,Person/Unit/Officer Transact with,Customer Rating,Customer Feedback,Factor or Details of the Incident:,Recommendations/Suggestions/Desired Action from the Office
3/22/2022,Student,Registrar Office,To get my honorable Dismissal,Registrar Staff,4-Good,Compliment,It`s alright,Peaceful
3/21/2022,Alumni,Registrar Office,CAV,Registrar Staff,5-Excellent,Compliment,The university has great well being services which are pretty easy to access.,The university must continuously advertises support that is available to students
3/23/2022,Student,Registrar Office,Claim Student Permanent Record/Units Earned,Registrar Staff,5-Excellent,Compliment,The facilities are very good,"Very good, only minor issues to nit-pick"
3/23/2022,Alumni,Registrar Office,Request of Documents,Registrar Staff,5-Excellent,Compliment,Quality Service,"Very good, there is lots to choose from"
3/23/2022,Employee (Faculty),Registrar Office,TOR,Registrar Staff,5-Excellent,Compliment,Good,Good
3/23/2022,Alumni,Registrar Office,Honorable Dismissal,Registrar Staff,5-Excellent,Compliment,"Very good, ",Great facilitates
3/23/2022,Alumni,Registrar Office,Claim TOR,Registrar Staff,5-Excellent,Compliment,Impressive!,Very good quality.
3/23/2022,Alumni,Registrar Office,CAV,Registrar Staff,5-Excellent,Compliment,Very Good,Clients feel well represented and facilities are competent
3/23/2022,Alumni,Registrar Office,CAV,Registrar Staff,5-Excellent,Compliment,"Good facilities, friendly and always welcoming",Thank you!
3/23/2022,Alumni,Registrar Office,Get Honorable Dismissal,Registrar Staff,4-Good,Compliment,Helped me with my issues in a quick and easy manner,Helped me with my issues in a quick and easy manner
3/23/2022,Alumni,Registrar Office,Certificate of Units Earned/Print-out of Grades/Authenticate,Registrar Staff,4-Good,Suggestion,None,it's easy to get the processed documents especially for those who are far away because the fare is expensive
3/24/2022,Alumni,Registrar Office,TOR,Registrar Staff,4-Good,Compliment;Suggestion,"Have improved over the years, much more computers and areas to work","Have improved over the years, much more computers and areas to work"
